timestamp,open,high,low,close,volume
2023-01-03 05:00:00+00:00,130.25,130.86,124.17,125.145,2123546
2023-01-04 05:00:00+00:00,126.93,128.65,125.105,126.39,1638939
2023-01-05 05:00:00+00:00,126.96,127.74,124.765,125.03,1440170
2023-01-06 05:00:00+00:00,125.98,130.275,124.895,129.56,1349339
2023-01-09 05:00:00+00:00,130.56,133.41,129.89,130.18,1236469
2023-01-10 05:00:00+00:00,130.26,131.23,128.125,130.74,918335
2023-01-11 05:00:00+00:00,131.36,133.47,130.49,133.37,1209100
2023-01-12 05:00:00+00:00,134.13,134.24,131.46,133.36,1355666
2023-01-13 05:00:00+00:00,131.86,134.91,131.705,134.73,904681
2023-01-17 05:00:00+00:00,134.865,137.28,134.2,135.91,1251222
2023-01-18 05:00:00+00:00,136.92,138.61,135.04,135.2,1779440
2023-01-19 05:00:00+00:00,134.05,136.25,133.78,135.27,1023477
2023-01-20 05:00:00+00:00,135.06,137.96,134.28,137.89,1273232
2023-01-23 05:00:00+00:00,138.09,143.315,137.94,141.095,2239571
2023-01-24 05:00:00+00:00,140.5,143.13,140.3,142.53,838216
2023-01-25 05:00:00+00:00,140.85,142.425,138.815,141.81,1154572
2023-01-26 05:00:00+00:00,143.22,144.25,141.93,143.94,1030855
2023-01-27 05:00:00+00:00,143.12,147.21,143.12,145.95,1237258
2023-01-30 05:00:00+00:00,144.82,145.52,142.865,143.02,1003188
2023-01-31 05:00:00+00:00,142.73,144.33,142.285,144.3,907942
2023-02-01 05:00:00+00:00,143.97,146.6,141.38,145.44,1249541
2023-02-02 05:00:00+00:00,148.89,151.18,148.17,150.62,2045098
2023-02-03 05:00:00+00:00,147.875,157.36,147.835,154.51,4085828
2023-02-06 05:00:00+00:00,152.455,153.07,150.785,151.74,1042601
2023-02-07 05:00:00+00:00,150.75,155.2,150.75,154.68,1193188
2023-02-08 05:00:00+00:00,153.79,154.57,151.18,151.95,1151312
2023-02-09 05:00:00+00:00,153.84,154.27,150.43,150.83,935481
2023-02-10 05:00:00+00:00,149.41,151.225,149.26,151.0,760448
2023-02-13 05:00:00+00:00,150.98,154.245,150.98,153.84,969944
2023-02-14 05:00:00+00:00,152.12,153.75,150.92,153.14,987798
2023-02-15 05:00:00+00:00,153.17,155.485,152.92,155.35,946558
2023-02-16 05:00:00+00:00,153.47,156.32,153.38,153.71,1087418
2023-02-17 05:00:00+00:00,152.37,152.98,150.86,152.53,834811
2023-02-21 05:00:00+00:00,150.21,151.28,148.405,148.5,960590
2023-02-22 05:00:00+00:00,148.66,149.93,147.18,148.92,817344
2023-02-23 05:00:00+00:00,150.1,150.32,147.245,149.38,653250
2023-02-24 05:00:00+00:00,147.04,147.17,145.73,146.68,659419
2023-02-27 05:00:00+00:00,147.74,149.14,147.49,147.9,616153
2023-02-28 05:00:00+00:00,147.04,149.05,146.86,147.47,566243
2023-03-01 05:00:00+00:00,146.82,147.22,145.01,145.35,948777
