timestamp,open,high,low,close,volume
2023-01-03 05:00:00+00:00,118.28,118.8,104.66,108.045,2387826
2023-01-04 05:00:00+00:00,109.15,114.57,107.62,113.66,1347852
2023-01-05 05:00:00+00:00,110.24,111.71,107.18,110.36,1129742
2023-01-06 05:00:00+00:00,102.9,114.38,101.87,113.01,2237225
2023-01-09 05:00:00+00:00,118.98,123.5,117.15,119.79,1832023
2023-01-10 05:00:00+00:00,121.1,122.75,114.97,118.85,1447251
2023-01-11 05:00:00+00:00,122.09,125.91,120.52,123.24,1499863
2023-01-12 05:00:00+00:00,122.62,124.09,117.045,123.52,1289116
2023-01-13 05:00:00+00:00,116.6,122.62,115.6,122.42,1590015
2023-01-17 05:00:00+00:00,125.74,131.69,125.02,131.48,1759771
2023-01-18 05:00:00+00:00,136.59,136.65,127.01,128.75,1927702
2023-01-19 05:00:00+00:00,127.3,129.99,124.31,127.14,1337094
2023-01-20 05:00:00+00:00,128.63,133.5,127.4,133.44,1035227
2023-01-23 05:00:00+00:00,135.82,145.31,134.32,143.81,1618161
2023-01-24 05:00:00+00:00,143.04,146.4,141.13,143.97,961116
2023-01-25 05:00:00+00:00,141.825,146.41,138.08,144.51,1468126
2023-01-26 05:00:00+00:00,159.96,161.38,154.8,160.29,2575211
2023-01-27 05:00:00+00:00,162.48,180.67,161.21,177.85,2761180
2023-01-30 05:00:00+00:00,178.05,179.73,166.5,166.71,2345943
2023-01-31 05:00:00+00:00,164.54,174.26,162.82,173.2,1564171
2023-02-01 05:00:00+00:00,173.89,183.78,169.95,181.32,1374243
2023-02-02 05:00:00+00:00,187.33,196.72,182.63,188.41,2022179
2023-02-03 05:00:00+00:00,184.2,198.99,183.795,189.95,1818400
2023-02-06 05:00:00+00:00,193.08,197.44,190.01,194.81,1227236
2023-02-07 05:00:00+00:00,196.56,197.48,189.56,196.8,1124347
2023-02-08 05:00:00+00:00,196.1,202.87,194.42,201.31,1314985
2023-02-09 05:00:00+00:00,207.79,214.0,204.78,207.33,1899933
2023-02-10 05:00:00+00:00,202.2,206.2,192.92,196.82,1757983
2023-02-13 05:00:00+00:00,194.36,196.28,187.61,194.65,1375524
2023-02-14 05:00:00+00:00,191.8,209.725,189.48,209.27,1490581
2023-02-15 05:00:00+00:00,211.77,214.65,206.19,214.15,1526898
2023-02-16 05:00:00+00:00,210.755,217.585,201.845,202.0,1477993
2023-02-17 05:00:00+00:00,200.0,208.41,197.51,208.41,1276019
2023-02-21 05:00:00+00:00,204.7,209.67,197.28,197.35,1137346
2023-02-22 05:00:00+00:00,197.765,201.98,191.805,200.93,1173515
2023-02-23 05:00:00+00:00,204.055,205.03,196.41,202.07,1067971
